,index,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1359,6546,24.0,230.35278270833334,101.95575583333333,197.90508979166665,100.0,3.090973125,32.44769291666667,85.32969458333334,1045.63,161893.61,2751.15
1360,6547,24.0,230.2454075,101.943429375,197.82680958333333,100.0,3.0554883333333334,32.41859791666667,85.55748125,1043.62,163625.93,2744.62
1361,6548,24.0,230.16782208333333,101.93175520833333,197.77773770833332,100.0,3.044248125,32.390084375,86.17396291666667,1042.26,163484.53,2726.49
1362,6549,24.0,230.50999083333335,101.929946875,198.03427041666666,100.0,3.1012739583333335,32.47572041666667,86.87354979166666,1035.79,164001.71,2718.41
1363,6550,24.0,230.85535166666668,101.93551979166666,198.358834375,100.0,3.115676458333333,32.49651729166666,86.81810979166667,1030.97,164001.71,2741.78
1364,6551,24.0,230.8414925,101.94130541666667,198.29202791666665,100.0,3.1586810416666666,32.54946458333333,86.86932291666666,1038.32,163614.28,2788.23
1365,6552,24.0,230.841138125,101.92910875,198.30445979166666,100.0,3.15100875,32.536678333333334,86.85450520833334,1041.04,163534.7,2802.18
1366,6553,24.0,230.75361666666666,101.91755395833333,198.25295791666667,100.0,3.1324772916666666,32.50065875,86.673791875,1041.04,168966.68,2800.36
1367,6554,24.0,230.66223791666667,101.90652,198.20235666666667,100.0,3.104068333333333,32.45988125,86.67827166666666,1036.49,162599.99,2792.59
1368,6555,24.0,230.40585833333333,101.89896645833333,198.08052104166666,100.0,3.1011239583333334,32.32533729166666,86.69913,1042.49,163591.18,2806.2
1369,6556,24.0,230.29326458333333,101.895235,198.08227979166668,100.0,3.1084804166666666,32.21098479166667,86.677874375,1047.3,166423.31,2804.14
1370,6557,24.0,230.830553125,101.894258125,198.48676895833333,99.998988125,3.058635625,32.343784166666666,85.611539375,1042.36,164741.77,2840.36
1371,6558,0.625,252.892348,101.88657,206.739802,7.777673333333333,17.2037,46.152546,83.714672,202.53,3754.12,69.19
1372,6589,5.825,234.56187364806868,101.43054802575108,176.47417836909872,15.688109583333333,23.43200600858369,58.08769527896996,52.04406841201717,416.68,56054.11,555.45
1373,6590,24.0,215.33284270833335,102.43152125,179.855696875,99.98930708333333,4.405487708333333,35.47714583333333,81.05694666666666,1238.4,189926.92,2362.74
1374,6591,24.0,217.52711229166667,102.483155625,183.550870625,100.0,4.281246875,33.97624166666667,82.68019333333334,1200.19,183977.42,2587.12
1375,6592,24.0,216.94062770833332,102.43947770833333,182.68117645833334,100.0,4.421768541666666,34.25945125,82.55463541666667,1409.91,213712.85,2378.38
1376,6593,24.0,217.832173125,102.36964604166667,183.920804375,100.0,4.379205625,33.91136875,82.983740625,1405.2,211887.25,2444.91
