,0,1,2,,DATEPRD,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,,,,,
126,3802.2822,536868.4,411.08902,,11/28/08,1780.74,244692.25,10.44,,,3559.4368,498629.4,556.1075
127,3764.1008,531697.5,405.28796,,11/29/08,3100.68,451496.53,13.04,,,3587.3337,502268.47,572.5201
128,3758.833,531010.44,400.6141,,11/30/08,3811.05,548808.76,11.11,,,3600.889,504059.56,599.6916
129,3775.5295,533298.7,402.69543,,12/1/08,3333.32,483082.2,11.26,,,3586.3643,501854.3,617.02673
130,3782.8513,534356.3,405.04556,,12/2/08,3203.92,463731.94,12.41,,,3555.248,498072.84,607.1674
131,3779.996,534028.94,404.295,,12/3/08,3625.36,524348.41,12.6,,,3564.4617,499592.44,584.8957
132,3793.5254,535978,407.1494,,12/4/08,3571.27,514993.37,12.27,,,3557.7717,499303.84,531.50165
133,3800.5127,537027.6,410.21436,,12/5/08,3629.64,522042.92,12.68,,,3592.9343,504574.94,479.20978
134,3802.5615,537373.06,411.32922,,12/6/08,3663.25,528911.84,12.63,,,3659.8337,513883.47,450.88715
135,3804.0642,537816.56,410.82166,,12/7/08,3687.91,533632.58,12.27,,,3729.6907,523789,449.63156
136,3803.7493,538086.1,409.29684,,12/8/08,3652.2,498323.72,12.64,,,3757.0354,528282.25,452.7641
137,3803.1204,538332.44,407.499,,12/9/08,3687.36,510228.28,10.98,,,3757.4285,529203.8,448.0751
138,3805.3137,538752.06,408.7931,,12/10/08,3685.38,534315.9,10.91,,,3757.829,529648.2,441.74817
139,3814.9973,539969.75,412.69427,,12/11/08,3526.36,509272.51,11.15,,,3769.0854,530939.1,437.50037
140,3823.6257,540736.06,417.49164,,12/12/08,3679.89,532148.72,11.59,,,3775.9282,531517.4,438.2146
141,3837.402,542306.1,425.55624,,12/13/08,3712.64,534747.96,11.1,,,3764.2654,529960.9,437.58994
142,3841.427,543220.94,433.95068,,12/14/08,3720.13,537612.97,13.46,,,3755.0151,528992.75,437.65915
143,3839.0361,543709.56,439.2608,,12/15/08,3676.11,537083.05,10.98,,,3754.7803,529219.94,438.76254
144,3838.331,544579.25,440.79733,,12/16/08,3604.86,528565.99,13.34,,,3754.7659,529192.8,436.98615
145,3832.112,544342.06,436.1967,,12/17/08,3548.88,520006.46,14.15,,,3751.382,528573.94,434.9392
146,3822.8518,542984.44,425.84293,,12/18/08,3622.37,529434.21,13.74,,,3752.1548,528761.1,431.27078
147,3821.7593,542333.94,415.12714,,12/19/08,3608.76,527810.53,14.48,,,3752.5503,528900.9,425.40375
148,3825.352,542195.9,408.6517,,12/20/08,3524.44,516367.93,14.36,,,3751.421,528545.75,419.6737
149,3830.6184,542433.2,407.28766,,12/21/08,3492.51,508709.44,14.13,,,3751.896,528310.44,416.97833
150,3836.1553,543147.56,409.4109,,12/22/08,3478.92,506383.06,14.28,,,3753.6426,528312.9,416.37927
151,3846.5981,544647.5,412.37152,,12/23/08,3473.27,505086.11,10.86,,,3750.0898,527736.25,413.96542
152,3855.0615,545680.06,411.66992,,12/24/08,3494.08,507980.35,10.91,,,3747.6304,527523.3,410.6481
153,3863.5356,546486.06,406.90607,,12/25/08,3484.95,507316.82,10.9,,,3747.5244,527711.75,408.51874
154,3871.519,547119,397.9084,,12/26/08,3499.21,508942.26,11.26,,,3748.0137,527976.44,407.23846
155,3878.2434,547690.6,387.7109,,12/27/08,3422.04,499431.07,11.33,,,3752.9983,528833.6,409.13898
156,3887.8105,548881.75,380.96506,,12/28/08,3494.29,509670.57,10.94,,,3758.202,529827.1,411.6436
157,3900.4827,550804,379.79703,,12/29/08,3476.12,506836.21,10.93,,,3745.4968,528572,406.3878
158,3912.453,553019.3,383.0474,,12/30/08,3451.08,503361.46,11.09,,,3736.076,527701.4,395.2267
159,3928.566,555781.06,390.4467,,12/31/08,3468.76,505874.61,10.91,,,3743.471,528823.9,386.46887
160,3947.5874,558308.2,399.27853,,1/1/09,3478.64,506024.38,12.54,,,3769.6199,532304.75,391.18988
161,3963.9502,559854.1,410.14325,,1/2/09,3363.8,488365.58,10.81,,,3802.2822,536868.4,411.08902
