DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_CHOKE_SIZE_P,AVG_WHP_P
12/04/2013,24,251.429725625,100,32.0735529166666
12/05/2013,23.55833,251.943725274626,96.3670797916666,32.5251690596065
12/06/2013,15.775,257.076807432646,55.0601558333333,34.5361503803486
12/07/2013,24,252.03772625,99.9455358333333,31.9823714583333
12/08/2013,24,252.07494875,99.9119179166666,31.9847175
12/09/2013,13.5,258.295774581392,54.5407939583333,34.9512010457111
12/10/2013,6.05833,257.169124254175,18.1886295833333,34.1283302467511
12/12/2013,9.94167,263.679798412882,18.995096875,38.5194470443698
12/13/2013,7.80833,255.553048645305,20.869715625,34.1343796803285
12/14/2013,22.275,256.820853737373,100,34.6650827946127
12/15/2013,22.83334,255.865302630088,83.8261883333333,34.2812623981774
12/16/2013,24,252.113726458333,92.349315,32.6768279166666
12/17/2013,24,251.89558375,100,32.2493783333333
12/18/2013,24,251.593570416666,100,32.1831277083333
12/19/2013,24,251.797578541666,100,32.246305
12/20/2013,17.33333,257.210867148868,62.5574583333333,35.157459798123
12/21/2013,24,252.789529166666,93.1287764583333,32.4884741666666
12/22/2013,24,252.075139166666,100,32.2187675
12/23/2013,24,252.11351,100,32.1919866666666
12/24/2013,24,252.063827708333,100,32.1775241666666
12/25/2013,24,252.104734583333,100,32.2003277083333
12/26/2013,20.975,252.742961284009,86.7855941666666,32.7121834038283
12/27/2013,15.525,260.520308223909,49.1222304166666,37.1932448418808
12/28/2013,24,252.878875,100,32.4464141666666
12/29/2013,24,252.75698625,100,32.24373125
12/30/2013,24,252.657684583333,100,32.1520145833333
12/31/2013,22.5,257.34540366436,81.1249314583333,34.9962858238177
01/01/2014,24,253.116393333333,93.4702927083333,32.5472458333333
01/02/2014,24,252.686360833333,100,32.1377145833333
01/03/2014,24,252.505852083333,100,31.995478125
01/04/2014,14.14167,253.689719885883,58.8506204166666,32.5766326593393
01/05/2014,6.35833,268.096675913675,12.166943125,39.9905713441579
01/06/2014,24,254.446869166666,82.5628064583333,33.0515116666666
01/07/2014,24,252.579471041666,100,32.132836875
01/08/2014,24,252.470644166666,100,32.1758704166666
01/09/2014,24,252.129655416666,100,32.1471554166666
01/10/2014,24,252.116463541666,100,32.1566891666666
01/11/2014,24,252.079524583333,100,32.1891722916666
01/12/2014,24,252.01889875,100,32.1413610416666
01/13/2014,24,252.094780416666,100,32.061985
01/14/2014,24,252.144861458333,100,32.046331875
01/15/2014,24,251.972897291666,100,31.8784064583333
01/16/2014,24,252.176973829787,97.9166666666666,31.9341672340425
01/17/2014,24,252.479881063829,97.9166666666666,32.2204570212765
01/18/2014,24,252.247355,100,31.9803885416666
01/19/2014,24,252.425201875,100,31.8617410416666
01/20/2014,24,252.626880212765,97.9166666666666,31.9162129787234
01/21/2014,24,252.75209375,100,31.9591897916666
01/22/2014,24,252.919487291666,100,31.978286875
01/23/2014,24,253.101340625,100,32.0208964583333
01/24/2014,24,253.2062575,100,32.0227175
01/25/2014,24,253.353739375,100,32.0676725
01/26/2014,24,253.445343958333,100,32.048314375
01/27/2014,24,253.646379375,100,32.0583364583333
01/28/2014,24,253.656221458333,100,32.0114697916666
01/29/2014,7.975,254.372201412865,34.7028529166666,32.6955940109717
01/31/2014,20.775,261.371033622142,100,36.5621572322503
02/01/2014,24,254.325142708333,100,32.4191985416666
02/02/2014,24,254.370382708333,100,32.40071375
02/03/2014,24,253.94892625,100,32.371135625
02/04/2014,24,253.70067125,100,32.3011622916666
02/05/2014,24,253.354840625,100,32.370266875
02/06/2014,8,256.163637973448,34.7938791666666,33.411872188009
