,DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
443,2015-06-24,24.0,228.969281875,108.22413145833333,192.65277833333334,56.58418833333333,8.626054375,36.31650354166667,74.713625625,422.22,62161.12,822.75
444,2015-06-25,24.0,226.21517875,108.16948895833333,191.41039625,56.562099583333335,7.137094375,34.8047825,73.23425770833333,387.93,57124.89,710.71
445,2015-06-26,24.0,224.20622208333333,108.16213541666667,190.42839395833334,58.21413104166667,5.958871458333333,33.777828125,72.32137625,446.62,65355.84,765.45
446,2015-06-27,24.0,221.04118625,108.19619229166666,187.73526645833334,60.88890333333333,4.773925208333333,33.30591979166667,73.68287583333333,435.55,63621.32,747.14
447,2015-06-28,24.0,218.23680395833333,108.21619604166666,185.8359775,62.82589333333333,3.9133764583333335,32.400826458333334,72.15043604166667,451.91,66072.21,751.35
448,2015-06-29,24.0,213.81011541666666,108.287074375,181.86936,69.60881708333334,3.602936875,31.940755416666665,75.97423354166666,635.31,91315.49,973.87
449,2015-06-30,24.0,207.21897625,108.319924375,176.36229833333334,73.33077083333333,3.123494583333333,30.856677916666666,77.12882083333334,645.3,92006.82,950.82
450,2015-07-01,3.29167,211.1208998199698,107.51574452764099,183.43514342297374,10.210002291666667,0.4916317095577625,27.685756396996055,41.20551324613342,15.53,2297.31,36.370000000000005
471,2015-07-22,22.375,268.87922223463687,107.54775759776537,240.5757453631285,55.01502395833333,10.206929888268157,28.30347687150838,64.06441329608938,110.7,16834.25,1201.2
472,2015-07-23,24.0,257.85251666666665,108.11948541666666,228.91118708333335,76.03492895833334,1.6543891666666666,28.941329583333335,73.50684520833333,165.82,25057.07,1349.74
473,2015-07-24,24.0,248.65667520833333,108.21226604166667,216.19297333333333,62.365308125,4.816654375,32.463701875,77.29776354166667,264.65,39858.61,1152.34
474,2015-07-25,24.0,248.31586041666668,108.07554166666667,213.89819875,53.82786041666667,7.17167625,34.41766166666667,70.60238708333333,204.35,30789.46,744.25
475,2015-07-26,24.0,245.78944583333333,108.0969725,211.31430354166667,53.75939666666667,7.227362291666667,34.475142291666664,69.98886604166667,229.61,34487.65,733.71
476,2015-07-27,24.0,243.75554895833332,108.07827583333334,209.60083833333334,53.47774666666667,6.910010416666666,34.154710625,68.88128833333333,227.7,34207.25,677.96
477,2015-07-28,24.0,242.07917833333335,108.05901125,208.54417083333334,53.414213333333336,6.282735625,33.5350075,67.50427354166666,223.78,33825.26,670.66
478,2015-07-29,24.0,241.09512708333332,108.014125625,208.54715354166666,53.51099875,5.283467916666667,32.547973541666664,65.37487104166667,182.64,27538.19,580.04
479,2015-07-30,24.0,240.00802666666667,108.035161875,207.54031979166666,54.51366604166667,5.197388125,32.467706875,65.544608125,201.69,30240.3,609.11
480,2015-07-31,24.0,237.15612916666666,108.13048479166666,204.26667291666666,56.361824166666665,5.459842916666667,32.88945625,67.56170979166667,267.48,40043.61,708.88
481,2015-08-01,24.0,231.56996875,108.24517104166667,197.85706104166667,58.649928958333334,5.977568125,33.71290770833333,68.344095,350.0,52296.95,826.33
482,2015-08-02,24.0,229.023134375,108.173670625,196.68528833333335,58.559740625,4.700881458333333,32.337846041666666,67.77410708333333,322.99,48064.42,713.45
483,2015-08-03,24.0,225.78627145833335,108.21635875,193.70706833333332,62.103713541666664,3.928983125,32.079203125,73.14789625,384.65,57758.9,819.92
484,2015-08-04,24.0,220.49977104166666,108.25252395833333,188.26696145833333,63.750488125,3.89781375,32.232809583333335,73.74903229166667,443.81,66824.44,844.98
485,2015-08-05,24.0,213.10862104166668,108.29224416666666,182.84996333333333,70.87810604166667,5.831541875,30.258657708333335,72.729213125,732.83,107840.05,1146.74
486,2015-08-06,24.0,208.739611875,108.27667416666667,179.0728775,73.51619541666666,2.3916229166666665,29.666734375,75.582770625,583.05,86709.92,875.53
487,2015-08-07,3.79167,210.43508587767394,108.14280098473759,183.60699252804173,11.826260833333333,1.1971883544717763,26.82809334963222,71.09571974955627,53.69,8197.91,107.08
515,2015-09-04,16.15833,277.58874137946185,107.37464388523443,244.13986830098779,38.67100104166666,9.027847477715829,33.44887307847407,58.74552662602509,176.51,27383.9,933.81
516,2015-09-05,24.0,265.45919291666667,108.03807208333333,231.90520854166667,58.93306104166667,6.861887083333333,33.553984375,78.65593833333334,291.3,44064.48,1417.15
517,2015-09-06,24.0,258.20136104166664,108.09493333333333,222.72154770833333,55.807739166666664,8.779020833333334,35.47981333333333,76.71006166666666,344.41,51698.11,1068.6
518,2015-09-07,24.0,253.93391770833333,108.097246875,217.28541208333334,53.856190833333336,9.976605625,36.648505625,73.61219854166667,360.29,53948.96,983.35
519,2015-09-08,24.0,250.72906541666666,108.08575104166667,214.03285625,53.287,10.044035,36.69620916666667,71.531215,369.91,55458.25,855.05
520,2015-09-09,24.0,247.680291875,108.084010625,211.45257125,53.28875020833333,9.5660325,36.227720625,70.84700666666667,370.14,55321.24,818.86
521,2015-09-10,24.0,245.182115625,108.06619291666667,209.83790458333334,53.293696041666664,8.693740208333333,35.34421104166667,69.52464104166667,355.61,53158.57,754.21
522,2015-09-11,24.0,243.31998416666667,108.03156583333333,209.22841291666666,53.26502791666667,7.43589875,34.09157125,67.37387541666666,334.51,50330.73,706.99
523,2015-09-12,24.0,239.65695458333334,108.14134375,205.5562525,55.98024041666667,7.377876041666667,34.10070208333333,71.44295145833334,397.18,58900.62,858.09
524,2015-09-13,24.0,235.341391875,108.16110833333333,201.878021875,56.80937041666667,6.753859791666667,33.46337,70.46284833333333,411.79,60948.22,840.38
525,2015-09-14,24.0,232.74826645833335,108.139724375,200.32935645833334,57.749569791666666,5.63909,32.41891,71.87909291666666,427.44,64121.63,817.92
526,2015-09-15,24.0,228.46513104166667,108.18670020833333,196.544505,60.309085,4.94689625,31.920626041666665,73.624714375,434.04,64316.54,890.56
527,2015-09-16,24.0,225.027478125,108.17662083333333,193.94675604166667,62.166072916666664,3.9630064583333335,31.080722083333335,73.84938,438.65,64702.0,887.5
528,2015-09-17,24.0,220.58318979166665,108.21312583333334,189.575694375,65.79759375,3.371948541666667,31.007495416666668,76.780525625,515.22,76528.74,931.11
529,2015-09-18,24.0,214.003685,108.284996875,183.17099895833334,77.67799083333334,2.250710625,30.832686041666665,79.77926833333333,614.6,89918.26,1061.29
530,2015-09-19,24.0,211.50218395833335,108.07291125,182.97533041666668,93.63542895833334,1.07988875,28.526853541666668,72.65986,509.6,74359.25,765.82
531,2015-09-20,8.30847,217.5412459033011,105.90531632674849,192.87613328356485,34.853130416666666,0.194397092172205,24.665112619736245,29.3560093272889,109.07,16388.92,176.43
555,2015-10-14,6.10819,282.4954977730719,105.59954950885614,227.80913034137774,13.458973541666667,31.83695695623417,54.686367431694165,35.887239694082865,68.45,10292.08,231.01
556,2015-10-15,24.0,266.7285533333333,107.90339229166666,239.882664375,59.00992166666666,8.119115208333334,26.845888958333333,79.764853125,105.62,16146.96,1645.08
557,2015-10-16,24.0,257.85519270833333,108.0525925,228.37925395833332,55.379709166666665,10.756467916666667,29.47593875,80.05827895833333,157.84,23819.66,1228.59
558,2015-10-17,24.0,254.75435395833333,108.00452479166667,222.52573625,51.612866875,13.50319,32.22861770833333,72.92637270833333,153.95,23111.45,862.14
559,2015-10-18,24.0,253.10014916666665,107.96312083333333,220.28585875,50.16502833333333,14.093316041666666,32.814290416666665,69.05145479166667,150.21,22354.38,714.55
560,2015-10-19,24.0,248.91862770833333,108.09233604166667,215.46067833333333,52.3161675,14.753864791666667,33.457949375,72.87741854166667,225.44,33844.5,861.16
561,2015-10-20,24.0,244.90601708333332,108.087671875,211.133265625,51.12081625,15.091922708333334,33.77275145833333,69.83978541666667,220.67,33090.49,816.18
562,2015-10-21,24.0,243.21173666666667,108.03095958333333,210.342775,52.894195625,9.907452291666667,32.868961666666664,61.204734375,208.22,31224.76,701.65
563,2015-10-22,24.0,240.39309625,108.069755625,208.12842854166666,55.40024979166667,6.161207708333333,32.264667708333334,64.32232270833333,217.89,32598.24,698.55
564,2015-10-23,24.0,238.33851270833333,108.05612979166666,207.07383333333334,56.32230520833333,5.2076625,31.264679375,64.55115645833334,218.67,32908.07,729.62
565,2015-10-24,24.0,234.84243083333334,108.11138354166667,203.84765895833334,58.327817083333336,4.639771666666666,30.994771875,66.50566833333333,252.89,38310.69,735.2
566,2015-10-25,24.0,232.592934,108.0744868,202.539827,59.99157,5.2331716,30.053107,66.5843442,284.35,42500.83,786.01
567,2015-10-26,24.0,226.84448729166667,108.18285395833334,194.49775208333332,55.619190208333336,13.630285833333334,32.346735208333335,70.539358125,393.65,64546.06,860.01
568,2015-10-27,24.0,222.44868479166666,108.17350229166667,191.255495,56.48961791666667,12.501842916666666,31.193189791666665,75.35461416666666,418.62,68466.4,846.55
569,2015-10-28,24.0,219.67743416666667,108.13854791666667,189.71858979166666,56.471529375,11.284748333333333,29.958844375,73.91004708333334,399.81,64240.2,801.29
570,2015-10-29,24.0,214.76013125,108.22752895833334,185.26703166666667,67.6650875,7.429941458333333,29.493099583333333,76.50866395833333,606.2,93397.01,1014.43
