,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
74,261.1412585416667,105.79446541666668,168.90140395833333,31.41246145833333,92.23985458333334,60.552660625,2747.01,481822.53,3.81
75,260.41739820244976,105.81602899604157,169.70584856317672,31.48973333333333,90.71154963927306,58.91078561042415,1985.59,350826.25,2.76
77,261.2815514583333,105.77952354166666,170.41920520833332,32.543967916666666,90.86234625,58.91681958333334,3011.83,459764.68,14.0
78,260.78862000000004,105.83854541666666,170.11878520833332,33.43435083333333,90.66983479166667,58.501581875,3167.59,471209.85,3.44
79,261.179134375,105.85250083333334,170.4076225,33.39043354166667,90.771511875,58.58880291666666,3163.92,486368.03,4.43
80,261.6092629166667,105.86265208333332,170.54918625,33.37373270833333,91.06007666666666,58.88368583333333,3173.19,474305.4,4.44
81,262.08819020833334,105.87273,170.71714791666668,33.37489,91.37104229166668,59.19771645833333,3188.85,493120.0,4.44
82,262.652684375,105.88165333333332,170.93675520833332,33.309282083333336,91.71592916666668,59.75377395833333,3186.96,491322.97,4.42
83,263.0432495833333,105.88669750000001,171.23656729166666,33.221430833333336,91.80668229166666,60.09477,3176.89,489872.38,4.42
84,263.48809166666666,105.893396875,171.38529166666666,33.11139,92.1028,60.38335375,3171.32,489343.07,4.29
85,263.91874916666666,105.90165375,171.52171395833332,33.05831875,92.39703520833334,60.48931125,3170.85,488607.46,4.76
86,264.351059375,105.90839375,171.57182145833337,33.023854375,92.77923791666667,60.51060229166666,3188.02,489393.88,0.01
87,264.227475,105.91762041666668,172.648793125,34.09643979166667,91.578681875,59.199934375,3415.68,524276.14,6.39
88,264.08789,105.91898,174.47571541666667,35.62917458333333,89.61217458333331,57.059738125,3701.51,567340.44,7.22
89,264.08789,105.91898,176.44395872340422,36.16033729166666,87.64393127659575,54.96433957446808,4002.28,612762.21,7.62
