,DATEPRD,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1875,2015-02-14,263.46445458333335,99.59468041666666,232.61638875,100.0,30.848065833333333,2.298516041666667,270.78,41177.89,3290.36
1876,2015-02-15,261.68287702319384,98.81354134335733,231.03121576695224,97.91178666666667,30.651661256241606,2.3379316887730983,269.97,40943.32,3267.13
1877,2015-02-16,264.0838860416667,99.64013270833334,233.11881125,100.0,30.965074791666666,2.384706875,269.67,40964.81,3546.17
1878,2015-02-17,264.4002744186046,99.65910116279069,233.25870906976743,93.47826086956522,31.141565348837208,2.503127441860465,260.65,40026.14,3553.39
1879,2015-02-18,264.5035677083333,99.66811,233.37312541666665,100.0,31.130442291666668,2.5018604166666667,274.9,41093.68,3434.84
1880,2015-02-19,264.4216202083333,99.66811,233.323864375,100.0,31.097755833333334,2.464470625,278.07,41359.57,3501.67
1881,2015-02-20,264.50410958333333,99.65913416666666,233.20902979166667,100.0,31.295079791666666,2.427563125,271.56,40594.17,3971.37
1882,2015-02-21,264.16093020833335,99.65716916666666,233.09010458333333,100.0,31.070825625,2.4382854166666665,265.58,39656.26,3797.58
1883,2015-02-22,264.2387,99.65896,233.251970625,100.0,30.986729375,2.3667727083333334,276.0,41180.25,3723.79
1884,2015-02-23,264.30741666666665,99.65896,233.33984,100.0,30.967576666666666,2.3372295833333334,275.59,41454.56,3502.56
1885,2015-02-24,264.6127670833333,99.655371875,233.44627958333334,100.0,31.1664875,2.3367241666666665,269.61,40049.23,3587.67
1886,2015-02-25,264.51843145833334,99.65553395833334,233.45632541666666,100.0,31.062106041666667,2.397118125,272.17,39869.67,3620.46
1887,2015-02-26,264.48086708333335,99.65061791666666,233.534825625,100.0,30.946041458333333,2.319056041666667,271.87,39911.4,3298.67
1888,2015-02-27,264.4507922916667,99.6498,233.48985104166667,100.0,30.96094125,2.364959375,273.25,40631.39,3557.33
1889,2015-02-28,264.49672645833334,99.64909104166667,233.64758354166668,100.0,30.84914291666667,2.2841010416666667,271.71,41483.88,3547.21
1890,2015-03-01,264.83899979166665,99.64214458333333,233.73623979166666,100.0,31.10276,2.248243958333333,271.85,41265.1,3512.7
1891,2015-03-02,265.3493564583333,99.63560666666666,233.78440333333333,100.0,31.564953125,2.2500127083333332,270.42,40978.9,3495.2
1892,2015-03-03,265.304694375,99.63836,233.75048708333333,100.0,31.554207291666668,2.254655625,271.12,40881.46,3458.92
1893,2015-03-04,263.489528946472,98.80555919120023,232.18133499627015,100.0,31.308193950201805,2.251248830564528,282.91,42711.71,3514.27
1894,2015-03-05,264.98606229166666,99.64472041666667,233.81049916666666,100.0,31.175563125,2.2844066666666665,270.27,40908.89,3476.18
1895,2015-03-06,264.73131520833334,99.6498,233.90654416666666,100.0,30.824771041666665,2.26138875,261.96,39442.79,3472.88
1896,2015-03-07,264.80017625,99.6498,234.00794520833333,100.0,30.792231041666668,2.201880625,259.79,39391.03,3475.14
1897,2015-03-08,264.841434893617,99.6498,233.97750021276596,97.91666666666667,30.863934680851063,2.2727617021276596,258.51,39158.41,3462.89
1898,2015-03-09,264.894539375,99.6498,234.10269166666666,100.0,30.791847708333332,2.2019822916666665,263.44,39567.06,3489.09
1899,2015-03-10,264.93250895833336,99.65264125,234.109991875,100.0,30.822517083333334,2.247671875,261.71,38863.69,3474.29
1900,2015-03-11,264.98174708333335,99.65586416666666,234.230715,100.0,30.75103208333333,2.2014520833333333,261.22,38705.69,3486.14
1901,2015-03-12,264.92574479166666,99.653701875,234.15760145833335,100.0,30.768143333333335,2.2287825,260.65,38671.33,3589.14
1902,2015-03-13,264.94250854166665,99.64983270833334,234.23410958333332,100.0,30.708398958333333,2.1678075,257.26,38618.48,3475.69
1903,2015-03-14,265.0015422916667,99.64991916666666,234.28054645833333,100.0,30.720995833333333,2.197257291666667,258.79,38583.83,3477.86
1904,2015-03-15,265.0656016666667,99.65285479166667,234.32316458333332,100.0,30.742437083333332,2.2042520833333334,256.56,37868.18,3485.97
1905,2015-03-16,265.10370875,99.65384229166666,234.39874770833333,100.0,30.704961041666667,2.1688022916666667,259.2,38085.63,3540.45
1906,2015-03-17,265.18112229166667,99.6498,234.49805166666667,100.0,30.683070625,2.137444375,262.19,38190.61,3461.46
1907,2015-03-18,265.2800516666667,99.64892291666666,234.43237541666667,100.0,30.84767625,2.2112295833333335,263.83,38355.18,3454.06
