,DATEPRD,NPD_WELL_BORE_NAME,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL
6757,2013-03-23,15/9-F-14,240.04514104166665,101.12581916666667,207.43355291666666,99.989619375,32.611588125,3.7726397916666667,85.54077666666667,991.44,104641.75,3390.58,
6758,2013-03-24,15/9-F-14,241.045823125,101.04519979166666,208.50073916666668,100.0,32.545083958333336,3.705211041666667,86.88850666666667,953.7,97662.68,3415.58,
6759,2013-03-25,15/9-F-14,248.65056299535115,100.97134504972783,210.93055907840022,38.579773125,37.72000391695091,8.813691067680743,82.5804904877543,437.64,68256.59,1670.33,
6760,2013-03-26,15/9-F-14,240.12394361702127,101.10513808510639,207.07835319148936,97.74082875,33.04559042553191,4.050172765957447,87.97612765957447,885.36,142455.06,3429.24,
6761,2013-03-27,15/9-F-14,240.50837583333333,101.06497395833334,207.54888729166666,100.0,32.959488541666666,3.9151379166666667,88.13066,918.69,148242.31,3467.78,
6762,2013-03-28,15/9-F-14,244.18299352223,101.0178639905537,209.17026371279408,58.93316854166667,35.01272980943591,6.121107992709661,85.4576652049742,593.67,95880.39,2323.05,
6763,2013-03-29,15/9-F-14,243.02102520833333,101.05327416666667,208.53617770833333,86.06624354166667,34.4848475,5.665883333333333,87.16362208333334,908.78,147354.51,3574.02,
6764,2013-03-30,15/9-F-14,240.42026617021276,101.09834808510638,207.38033596187944,97.91666666666667,33.03993020833333,4.216899782801418,88.24945212765958,970.86,155500.7,3542.81,
6765,2013-03-31,15/9-F-14,241.7119,101.07562772727273,208.00241545454546,79.77891086956522,33.70948454545454,4.911755,88.23146227272727,919.79,146888.54,3290.36,
6766,2013-04-01,15/9-F-14,242.66959643919992,101.08059331965681,208.54576389235132,66.723121875,34.12383254684863,5.580846853681621,88.22922376249501,878.51,140621.98,3124.96,
6767,2013-04-03,15/9-F-14,253.0931429134715,100.94741690392401,212.49196137941968,30.30538479166667,40.60118153405181,11.318496649319517,80.08304552346804,473.81,75415.01,1760.02,
6768,2013-04-04,15/9-F-14,241.902006875,101.14061625,207.92850229166666,75.71153166666667,33.97350458333333,4.971850416666666,88.02505083333334,982.1,150745.83,3299.39,
6769,2013-04-05,15/9-F-14,242.86417883478643,101.10975105933733,208.55420388538124,39.96248625,34.30997494940519,5.487287510586826,87.99991057438723,463.05,76681.67,2125.54,
6770,2013-04-09,15/9-F-14,298.42172,98.88566,201.51907,1.1876958333333334,96.90265,96.42207,4.49094,0.0,0.0,0.0,
6771,2013-04-10,15/9-F-14,261.5719613790813,100.80792639005885,216.5831930118272,11.466540625,44.98876836725409,14.977666495253102,68.9413642862374,93.54,17513.55,393.39,
6772,2013-04-11,15/9-F-14,243.22704895833334,101.14451145833333,206.747155625,59.11393208333333,36.47989333333334,7.391849375,85.96223520833334,934.08,148427.1,3333.68,
6773,2013-04-12,15/9-F-14,242.80338479166667,101.20400354166667,213.68175854166665,66.20072020833334,29.12162625,8.561883333333334,86.40184583333334,963.01,153882.81,3405.74,
6774,2013-04-13,15/9-F-14,242.41057666666666,101.156783125,208.04685,71.85808541666667,34.363726666666665,5.31839,87.78388270833334,999.28,158799.89,3454.13,
6775,2013-04-14,15/9-F-14,242.49760166666667,101.18838604166666,208.005521875,70.36909854166667,34.49207979166667,5.434136666666666,85.38775916666667,1023.15,162631.11,3470.11,
6776,2013-04-15,15/9-F-14,242.5725347334001,101.13483326839749,208.32290884947207,72.809854375,34.249625883928005,5.182207140951712,86.48736256626611,1028.77,163352.64,3478.38,
6777,2013-04-16,15/9-F-14,247.8210827422713,101.04765223467444,210.00313134102495,57.519335833333336,37.81795140124633,8.654568276110334,84.0236956598159,897.68,185569.17,3135.06,
6778,2013-04-17,15/9-F-14,237.36081125,98.93709145833333,202.9643775,70.15070395833334,34.39643375,5.392723958333334,86.047281875,1043.24,165551.97,3413.39,
6779,2013-04-18,15/9-F-14,242.469514375,101.07494166666666,208.13740791666666,70.20958833333333,34.332106458333335,5.277822916666667,86.40729645833333,1039.9,164156.91,3391.98,
6780,2013-04-19,15/9-F-14,242.65213833333334,101.067214375,208.26914166666666,70.24530625,34.38299666666666,5.3408125,87.80130645833333,1029.29,163366.49,3408.46,
6781,2013-04-20,15/9-F-14,242.64731625,101.0573775,208.57962708333332,73.674573125,34.06768916666667,5.027935625,87.45973270833333,1035.27,163267.86,3431.25,
6782,2013-04-21,15/9-F-14,242.26230604166668,101.06185916666666,208.74569958333333,79.405721875,33.516606458333335,4.4682908333333335,86.58731458333334,1031.17,163156.23,3456.23,
6783,2013-04-22,15/9-F-14,242.44713791666666,101.06124229166667,209.08821083333333,82.01953791666666,33.358927083333334,4.2572922916666665,86.66135833333334,1025.28,162084.08,3471.84,
6784,2013-04-23,15/9-F-14,242.64004416666666,101.058820625,209.40341333333333,85.25110395833333,33.23663083333334,4.120942708333334,86.89837395833334,1021.59,161047.16,3501.49,
6785,2013-04-24,15/9-F-14,242.86257083333334,101.04206583333334,209.79800604166667,88.66311604166667,33.06456479166667,3.9946970833333335,88.011811875,1010.54,160706.99,3533.05,
6786,2013-04-25,15/9-F-14,242.36819833333334,101.036631875,209.64723020833333,94.69944520833333,32.720968125,3.67778625,87.746181875,1011.17,160744.88,3541.41,
6787,2013-04-26,15/9-F-14,242.197125625,101.02388125,209.618604375,99.99990166666667,32.57852125,3.5315177083333333,88.53731416666666,1013.13,159708.35,3553.3,
6788,2013-04-27,15/9-F-14,242.26156708333335,101.00708979166667,209.74829583333334,100.0,32.51327125,3.4838295833333333,88.44910916666667,1003.84,160084.91,3530.95,
6789,2013-04-28,15/9-F-14,242.594548125,100.999990625,210.108995,100.0,32.485553125,3.3554941666666664,86.665080625,1014.92,159576.9,3504.81,
6790,2013-04-29,15/9-F-14,242.611946875,100.988794375,210.04229104166666,99.99861479166667,32.569655833333336,3.31591625,87.32891166666667,977.42,155870.29,3508.74,
6791,2013-04-30,15/9-F-14,247.074561875,100.91047854166666,211.34863895833334,66.09095666666667,35.72592291666667,6.698540208333333,88.08031020833333,881.68,143293.17,3222.96,
6792,2013-05-01,15/9-F-14,242.723934375,100.979256875,210.39580666666666,100.0,32.328127708333334,3.3172525,87.103736875,944.52,153530.4,3513.02,
6793,2013-05-02,15/9-F-14,243.15592895833333,100.97990854166666,210.751536875,100.0,32.404392083333335,3.3900872916666667,88.22105104166667,945.7,152444.86,3545.95,
6794,2013-05-03,15/9-F-14,243.30500270833335,100.979824375,210.94523645833334,100.0,32.35976625,3.3338745833333334,87.243696875,944.53,151248.01,3571.48,
6795,2013-05-04,15/9-F-14,243.46132604166667,100.97618895833334,211.109629375,100.0,32.35169666666667,3.3145291666666665,87.203849375,942.56,152919.31,3501.77,
6796,2013-05-05,15/9-F-14,243.83148625,100.96169416666666,211.453729375,100.0,32.377756875,3.34711,87.72657979166667,948.91,153774.46,3456.58,
6797,2013-05-06,15/9-F-14,243.936604375,100.95995270833333,211.60326895833333,100.0,32.333335416666664,3.318120208333333,87.71675958333333,945.75,153536.18,3496.59,
6798,2013-05-07,15/9-F-14,244.09267166666666,100.95433104166666,211.74049,100.0,32.35218166666667,3.3326179166666665,88.21818166666667,941.46,153076.45,3538.95,
6799,2013-05-08,15/9-F-14,244.44048520833334,100.94057458333333,212.05589583333332,100.0,32.384589375,3.3578591666666666,87.5944225,936.59,153541.73,3588.76,
6800,2013-05-09,15/9-F-14,244.49680416666666,100.9365825,212.13166458333333,100.0,32.36513958333333,3.33027,88.10980770833334,938.7,153411.05,3575.45,
6801,2013-05-10,15/9-F-14,244.52877479166668,100.933793125,212.16771333333332,100.0,32.36106145833333,3.3190525,87.63836145833334,934.27,152935.73,3571.66,
6802,2013-05-11,15/9-F-14,244.60115833333333,100.929499375,212.27366145833332,100.0,32.327496875,3.2903795833333334,87.58342479166667,934.81,153248.72,3581.93,
6803,2013-05-12,15/9-F-14,244.68083166666668,100.92589106382978,212.30819379432623,97.91666666666667,32.37263787234043,3.3315284973404253,88.21630291666666,937.7,152982.22,3620.38,
6804,2013-05-13,15/9-F-14,244.7306489361702,100.92082729166667,212.38372085106383,97.91666666666667,32.346928085106384,3.2987970212765956,87.36269659574468,935.6,153135.16,3646.27,
6805,2013-05-14,15/9-F-14,223.5581682624191,92.01050795932125,189.06593427150233,64.290735,34.49223399091674,5.965163716484198,83.40247371459849,642.94,106938.22,2844.91,
6806,2013-05-15,15/9-F-14,96.60870458333333,39.76882416666667,62.57754125,100.0,34.03116333333333,4.874387291666666,85.87496833333333,844.52,138409.0,3877.13,
6807,2013-05-16,15/9-F-14,245.033389375,100.91098083333333,212.83582958333332,99.706341875,32.19755979166667,3.4417725,87.53378,866.05,141334.03,3427.06,
6808,2013-05-17,15/9-F-14,249.85773114376045,100.84244949121425,214.57873288537593,71.36113604166667,35.278998258384526,5.526397364904352,87.34334794465072,706.38,117755.14,3049.43,
6809,2013-05-18,15/9-F-14,244.79408625,100.88310958333334,212.22834541666666,99.99978708333333,32.56574083333334,3.4706941666666666,88.66307145833333,871.1,144221.56,3531.46,
6810,2013-05-19,15/9-F-14,244.15188541666666,100.90184479166666,211.88796166666665,100.0,32.26392375,3.5266295833333334,88.873651875,885.74,146643.01,3545.33,
6811,2013-05-20,15/9-F-14,244.16551936170214,100.88445914893617,211.81651787234043,97.91666666666667,32.349001489361704,3.4905868085106384,88.60877,898.84,147529.5,4083.25,
6812,2013-05-21,15/9-F-14,244.23688708333333,100.88240833333333,211.93359770833334,100.0,32.303289375,3.509099375,88.32072979166666,897.07,148011.67,4280.07,
6813,2013-05-22,15/9-F-14,243.66792395833335,100.858638125,211.44702979166667,100.0,32.22089416666667,3.4286972916666665,88.17113020833334,903.88,148294.52,3509.06,
6814,2013-05-23,15/9-F-14,243.10625208333335,100.81542770833333,210.68589666666668,100.0,32.420355416666666,3.1568085416666665,87.38365895833333,888.78,146571.54,3443.02,
6815,2013-05-24,15/9-F-14,241.724486875,100.82537395833333,209.77474270833332,100.0,31.949744166666665,3.2206433333333333,87.98306166666667,886.33,145965.95,3358.32,
6816,2013-05-25,15/9-F-14,242.41595,100.821670625,210.25340333333332,100.0,32.162546666666664,3.2537120833333333,88.35523104166667,874.98,143285.37,3381.37,
6817,2013-05-26,15/9-F-14,242.62312458333332,100.82661854166666,210.55118291666668,100.0,32.07194166666667,3.3023758333333335,88.514991875,876.79,143215.63,3416.71,
6818,2013-05-27,15/9-F-14,242.96539208333334,100.83290791666667,210.93908083333332,100.0,32.02631125,3.2727314583333333,87.62931520833334,875.26,144123.15,3452.48,
