,0,1,2,,DATEPRD,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,,,,,
88,1117.8545,169482.66,116.93009,,11/3/13,773.31,118945.98,55.93,,,1073.1697,163054.19,100.96523
89,1084.6183,164515.11,115.76288,,11/4/13,1155.15,171451.06,90.69,,,1013.0999,153224.47,87.16425
90,1081.7632,164004.38,117.84844,,11/5/13,1180.75,168416.92,78.21,,,1085.1136,166824.7,104.08333
91,1108.6985,167562.03,121.43899,,11/6/13,1127.93,163020.84,79.17,,,1116.1503,169437.89,105.83821
92,1116.3467,168733.98,121.77621,,11/7/13,1164.19,176793.13,99.51,,,1113.8918,170435.98,84.96987
93,1114.6682,168656.7,123.6805,,11/8/13,1186.6,181291.47,79.84,,,1141.2836,173354.17,84.25064
94,1114.5679,168351.56,124.67245,,11/9/13,1174.61,179820.66,79.45,,,1172.7634,179730.81,70.94641
95,1116.7218,168584.19,123.64649,,11/10/13,1201.41,185113.58,82.33,,,1151.2932,177584.19,59.721844
96,1117.1389,168655.88,123.68027,,11/11/13,1257.28,190800.57,86.61,,,1142.3933,176933.3,60.354916
97,1115.8073,168482.1,125.11486,,11/12/13,1167.56,177662.24,154.63,,,1125.2812,172360.58,59.854977
98,1115.0304,168238.23,124.849266,,11/13/13,1150.55,175824.8,152.96,,,1131.1465,172985.69,96.56777
99,1112.106,167924.92,122.61798,,11/14/13,1162.76,179241.31,150.8,,,1149.1823,175865.58,115.29021
100,1110.0868,167612.05,121.83192,,11/15/13,1172.19,180093.66,147.79,,,1116.5781,169026.02,109.562485
101,1115.3497,168304.02,125.54606,,11/16/13,1185.38,180733.52,147.88,,,1091.562,166431.89,103.54742
102,1120.013,168931.73,129.95062,,11/17/13,1156.62,177486.85,147.8,,,1095.4794,166918.83,113.15496
103,1121.9232,169073.28,132.5008,,11/18/13,1155.28,178261.19,146.93,,,1117.8545,169482.66,116.93009
104,1125.0394,169300.58,132.42679,,11/19/13,1145.31,177359.39,150.1,,,1084.6183,164515.11,115.76288
105,1128.2025,169662,131.23901,,11/20/13,1222.99,189530.92,154.58,,,1081.7632,164004.38,117.84844
106,1128.25,169689.48,130.57707,,11/21/13,1245.11,191871.39,161.9,,,1108.6985,167562.03,121.43899
107,1001.5758,151710.98,100.8802,,11/22/13,1213.11,186678.56,160.58,,,1116.3467,168733.98,121.77621
108,1081.4119,163082.38,113.7239,,11/23/13,1216.54,186613.12,163.64,,,1114.6682,168656.7,123.6805
109,1114.5052,168901.22,120.33719,,11/24/13,1232.91,191776.79,168.08,,,1114.5679,168351.56,124.67245
110,974.60974,148368.86,86.86418,,11/25/13,1227.25,191140,167.36,,,1116.7218,168584.19,123.64649
111,955.70807,145905.98,84.791176,,11/26/13,1200.78,187196.84,163.13,,,1117.1389,168655.88,123.68027
112,647.5701,106543.73,36.020576,,11/27/13,1202.03,186758.37,168.54,,,1115.8073,168482.1,125.11486
113,884.37964,133054.05,20.208174,,11/28/13,1193.42,185960.25,161.89,,,1115.0304,168238.23,124.849266
114,945.3253,146478.27,120.65364,,11/29/13,1196.26,186979.42,163.9,,,1112.106,167924.92,122.61798
115,1025.7825,154890.25,106.857796,,11/30/13,1253.95,195442.83,172.12,,,1110.0868,167612.05,121.83192
116,1120.7101,170900.72,129.27124,,12/1/13,1274.74,197980.77,173.29,,,1115.3497,168304.02,125.54606
117,1154.2368,178725.02,128.09088,,12/2/13,1326.29,205626.09,182.12,,,1120.013,168931.73,129.95062
118,1226.0737,181574.27,145.45132,,12/3/13,1314.55,202444.65,168.42,,,1121.9232,169073.28,132.5008
119,1180.0632,182247.5,127.90986,,12/4/13,1340.01,204590.59,177.45,,,1125.0394,169300.58,132.42679
120,1114.179,167185.55,132.86055,,12/5/13,1306.06,202482.3,168.21,,,1128.2025,169662,131.23901
121,1141.3875,172667.61,103.290085,,12/6/13,605.59,97273.46,104.21,,,1128.25,169689.48,130.57707
122,1161.2755,178681.05,81.47955,,12/7/13,1166.9,183206.61,162.79,,,1001.5758,151710.98,100.8802
123,1201.9877,183000.11,104.47331,,12/8/13,1170.31,183150.04,155.7,,,1081.4119,163082.38,113.7239
124,1146.2738,177249.88,119.918015,,12/9/13,590.11,93019.2,88.4,,,1114.5052,168901.22,120.33719
125,1213.824,185777.16,170.261,,12/10/13,780.7,116155.5,156.38,,,974.60974,148368.86,86.86418
126,1003.811,156853.23,109.741165,,12/11/13,62.69,9263.17,278.88,,,955.70807,145905.98,84.791176
127,1069.7094,163026.78,112.5055,,12/12/13,1096.97,174751.32,193.09,,,647.5701,106543.73,36.020576
128,1023.0214,157387.16,100.48114,,12/13/13,364.15,61122.85,71.89,,,884.37964,133054.05,20.208174
129,1078.6305,162789,118.33184,,12/14/13,1023.24,159088.66,157.43,,,945.3253,146478.27,120.65364
130,1110.2445,168599.56,119.339,,12/15/13,1086.49,169892.14,168.68,,,1025.7825,154890.25,106.857796
131,1121.9307,169196.5,115.50307,,12/16/13,1228.17,189634.39,178.99,,,1120.7101,170900.72,129.27124
132,1059.1757,159985.58,104.83155,,12/17/13,1276.23,195873.06,162.45,,,1154.2368,178725.02,128.09088
133,1054.1779,160334.72,108.87204,,12/18/13,1311.5,202707.98,173.5,,,1226.0737,181574.27,145.45132
134,1093.7329,165966.61,113.481415,,12/19/13,1306.85,201799.68,173.34,,,1180.0632,182247.5,127.90986
135,1144.4283,173535.42,122.99857,,12/20/13,916.69,134201.98,145.17,,,1114.179,167185.55,132.86055
136,1015.17395,153309.92,88.73787,,12/21/13,1149.7,180446.8,161.79,,,1141.3875,172667.61,103.290085
137,805.9541,126562.445,43.087666,,12/22/13,1268.29,196322.3,168.18,,,1161.2755,178681.05,81.47955
138,979.9334,150500.9,59.730034,,12/23/13,1300.33,201283,174.78,,,1201.9877,183000.11,104.47331
139,1088.8434,167691.94,105.87551,,12/24/13,1332.52,206204.7,183.6,,,1146.2738,177249.88,119.918015
140,1087.5309,164922.52,98.373344,,12/25/13,1321.87,204302.54,172.21,,,1213.824,185777.16,170.261
141,1102.1791,167149.55,126.909386,,12/26/13,1133.69,177658.57,150.03,,,1003.811,156853.23,109.741165
142,1126.4738,171007.31,123.880066,,12/27/13,648.24,106033.85,100.03,,,1069.7094,163026.78,112.5055
143,1154.7542,173915.28,124.02166,,12/28/13,1219.26,190268.65,165.29,,,1023.0214,157387.16,100.48114
144,1165.0051,177629.25,128.16342,,12/29/13,1240.64,192029.01,166.72,,,1078.6305,162789,118.33184
145,1137.5448,171349.8,123.59414,,12/30/13,1269.54,196787.47,170.27,,,1110.2445,168599.56,119.339
146,1161.2404,175426.48,112.85845,,12/31/13,973.43,155057.49,129.97,,,1121.9307,169196.5,115.50307
147,1195.1543,182447.22,109.174736,,1/1/14,1199.06,187807.44,166.35,,,1059.1757,159985.58,104.83155
148,1181.4,180137.38,99.10273,,1/2/14,1327.31,205602.96,180.73,,,1054.1779,160334.72,108.87204
149,1083.8923,166473,106.69402,,1/3/14,1296.68,202058.64,179.9,,,1093.7329,165966.61,113.481415
150,1144.6235,174130.23,136.59511,,1/4/14,753.22,117116.87,103.66,,,1144.4283,173535.42,122.99857
151,1137.1283,172272.73,145.39609,,1/5/14,287.7,46247.9,72.19,,,1015.17395,153309.92,88.73787
152,1125.4551,168252.73,133.63364,,1/6/14,1109.93,172803.21,113.83,,,805.9541,126562.445,43.087666
153,1121.9913,167908.08,130.1321,,1/7/14,1202.73,188012.31,111.63,,,979.9334,150500.9,59.730034
154,1120.7843,167730.67,129.14636,,1/8/14,1218.19,188014.96,111.77,,,1088.8434,167691.94,105.87551
155,1119.5049,167566.73,127.69212,,1/9/14,1241.32,192257.35,114.97,,,1087.5309,164922.52,98.373344
156,1118.7063,167474.3,126.66856,,1/10/14,1253.36,193245.49,115.77,,,1102.1791,167149.55,126.909386
157,1022.7134,153963.84,102.92017,,1/11/14,1279.02,197035.2,116.63,,,1126.4738,171007.31,123.880066
158,1099.728,165020.8,118.184326,,1/12/14,1276.71,197394.26,114.01,,,1154.7542,173915.28,124.02166
159,1121.7024,168989.84,124.72221,,1/13/14,1289.27,200095.41,117.72,,,1165.0051,177629.25,128.16342
160,1122.6443,168423.39,127.13012,,1/14/14,1311.79,203139.11,126.59,,,1137.5448,171349.8,123.59414
161,902.1032,137648.94,78.657,,1/15/14,1274.05,198322.47,176.58,,,1161.2404,175426.48,112.85845
162,945.4736,143967.97,82.7748,,1/16/14,1250.06,186576.95,163.83,,,1195.1543,182447.22,109.174736
163,1048.0076,159122.17,99.46171,,1/17/14,1297.07,192575.99,171.49,,,1181.4,180137.38,99.10273
164,1118.2849,169326.89,106.40477,,1/18/14,1282.74,193991.23,195.78,,,1083.8923,166473,106.69402
165,1139.9476,170108.22,115.756744,,1/19/14,1231.07,180443.66,169.32,,,1144.6235,174130.23,136.59511
166,1118.7487,169546.23,120.48225,,1/20/14,1236.35,176925.68,169.26,,,1137.1283,172272.73,145.39609
167,1141.8131,171711.22,121.91801,,1/21/14,1245.46,177097.85,195.54,,,1125.4551,168252.73,133.63364
168,972.50745,149149.89,87.164474,,1/22/14,1296.27,181397.93,186.83,,,1121.9913,167908.08,130.1321
169,796.44684,125368.68,60.17495,,1/23/14,1352.45,191156.6,187.17,,,1120.7843,167730.67,129.14636
170,973.7928,149189.33,77.9912,,1/24/14,1296.83,186635.55,205.2,,,1119.5049,167566.73,127.69212
171,931.63916,144462.27,90.858116,,1/25/14,653.96,96531.97,101.41,,,1118.7063,167474.3,126.66856
172,1003.9475,153400.33,73.002975,,1/26/14,1138.27,162834.95,193.2,,,1022.7134,153963.84,102.92017
173,1061.8662,163690.61,123.31432,,1/27/14,1128.83,155786.06,176.91,,,1099.728,165020.8,118.184326
174,1074.0227,165065.94,138.71652,,1/28/14,1185.93,171404.05,182.52,,,1121.7024,168989.84,124.72221
175,1195.3444,178694.14,161.87221,,1/29/14,473.89,69703.72,46.44,,,1122.6443,168423.39,127.13012
176,1164.2717,176790.34,140.28094,,1/31/14,1162.85,181137.45,116.26,,,902.1032,137648.94,78.657
177,1122.8203,166282.03,114.43614,,2/1/14,1182.42,180140.66,131.17,,,945.4736,143967.97,82.7748
178,1064.9655,162741.78,59.981354,,2/2/14,1324.83,197601.75,144.47,,,1048.0076,159122.17,99.46171
179,1139.6018,173070.2,63.36749,,2/3/14,1353.04,200663.2,144.48,,,1118.2849,169326.89,106.40477
180,1164.0015,176311.31,88.19859,,2/4/14,1362.32,202159.95,146.19,,,1139.9476,170108.22,115.756744
181,1132.9857,175227.95,113.53687,,2/5/14,1355.11,200751.35,143.9,,,1118.7487,169546.23,120.48225
182,1268.0052,194093.89,176.39249,,2/6/14,336.75,51566.33,36.61,,,1141.8131,171711.22,121.91801
183,1143.9121,175774.36,134.98567,,2/8/14,140.99,20655.72,18.65,,,972.50745,149149.89,87.164474
184,1103.474,168025.47,145.67943,,2/9/14,1165.83,174800.7,120.07,,,796.44684,125368.68,60.17495
185,1178.6547,180659.02,155.12958,,2/10/14,117.82,18892.97,24.22,,,973.7928,149189.33,77.9912
186,1159.5347,172906.48,140.69925,,2/12/14,953.58,145413.08,103.12,,,931.63916,144462.27,90.858116
187,1147.8777,172304.73,127.59447,,2/13/14,1196.82,181329.97,119.54,,,1003.9475,153400.33,73.002975
188,1153.8142,173788.6,125.72824,,2/14/14,1237.04,186974.01,123.73,,,1061.8662,163690.61,123.31432
189,1148.2969,172302.1,123.83493,,2/15/14,1219.55,183386.23,123.2,,,1074.0227,165065.94,138.71652
190,1115.4069,168109.64,133.0503,,2/16/14,1237.45,186219.16,123.51,,,1195.3444,178694.14,161.87221
191,1103.0336,166574.81,145.08725,,2/17/14,1234.86,188474.24,122.52,,,1164.2717,176790.34,140.28094
192,1139.422,170814.86,153.48708,,2/18/14,649.74,102858.09,75.88,,,1122.8203,166282.03,114.43614
193,1123.4193,167745.95,135.7807,,2/19/14,1081.91,164366.45,111.46,,,1064.9655,162741.78,59.981354
194,1120.7795,167529,131.61903,,2/20/14,1230.32,186274.43,119.33,,,1139.6018,173070.2,63.36749
195,1127.5934,168531.14,133.13393,,2/21/14,1248.17,189304.4,122.61,,,1164.0015,176311.31,88.19859
196,1144.5919,170930.3,138.94817,,2/22/14,1241.05,187046.91,122.94,,,1132.9857,175227.95,113.53687
197,1150.8491,171845.92,142.88632,,2/23/14,1243.91,189235.11,123.19,,,1268.0052,194093.89,176.39249
198,1153.4371,172170.19,147.35544,,2/24/14,1210.72,182604.22,113.2,,,1143.9121,175774.36,134.98567
199,1153.3927,172037.97,149.63638,,2/25/14,1223.99,185140.43,116.95,,,1103.474,168025.47,145.67943
200,1155.5018,172227.38,151.08775,,2/26/14,1223.72,184384.47,117.97,,,1178.6547,180659.02,155.12958
201,1158.2302,172459.72,151.12721,,2/27/14,1209.75,183100.06,117.06,,,1159.5347,172906.48,140.69925
202,1158.6663,172375.38,150.49028,,2/28/14,1208.28,181938.79,115.4,,,1147.8777,172304.73,127.59447
203,1155.4277,171793.73,149.34885,,3/1/14,1188.83,179622.4,117.09,,,1153.8142,173788.6,125.72824
204,1150.6985,171168.47,148.63138,,3/2/14,1200.67,183491.63,118.5,,,1148.2969,172302.1,123.83493
205,1145.4872,170279.89,148.74919,,3/3/14,1199.47,181945.85,114.53,,,1115.4069,168109.64,133.0503
206,1137.9557,169214.11,148.52328,,3/4/14,1194.84,181724.8,120.91,,,1103.0336,166574.81,145.08725
207,1135.0237,168719.6,148.91374,,3/5/14,1178.12,178348.75,111.44,,,1139.422,170814.86,153.48708
208,1137.267,168950.53,148.81094,,3/6/14,1189.71,178695.38,111.85,,,1123.4193,167745.95,135.7807
209,1137.9995,169104.1,147.32733,,3/7/14,1216.72,185392.17,118.58,,,1120.7795,167529,131.61903
210,978.22473,146923.38,105.22403,,3/8/14,1332.15,199339.84,130.64,,,1127.5934,168531.14,133.13393
211,1047.7811,156956.45,117.48468,,3/9/14,1306.23,196022.48,127.47,,,1144.5919,170930.3,138.94817
212,835.4268,128653.19,64.20168,,3/10/14,1326.01,199620.1,131.83,,,1150.8491,171845.92,142.88632
213,660.92645,105309.94,24.812927,,3/11/14,1329.45,199879.46,133.44,,,1153.4371,172170.19,147.35544
214,865.1818,131720.2,52.74474,,3/12/14,1309.27,196309.22,131.14,,,1153.3927,172037.97,149.63638
215,838.55676,129443.266,89.46353,,3/13/14,1319.73,198367.53,150.17,,,1155.5018,172227.38,151.08775
216,681.6949,107575.125,29.317612,,3/14/14,1310.19,197942.05,136.27,,,1158.2302,172459.72,151.12721
