,0,1,2
335,3786.553,541194.4,60.362495
336,3821.4482,545424.2,52.715828
337,3854.0227,551403.4,55.204723
338,3893.2048,557956.4,61.153515
339,3937.6035,564154.2,69.20814
340,3973.359,569760.4,60.920433
341,4011.1343,573817.56,53.931995
342,4006.924,571208.44,48.597443
343,3967.9849,562492.44,49.191753
344,3943.9868,558519.56,61.855396
345,3956.406,559499.6,85.77455
346,3932.593,557663.5,86.68088
347,3890.6948,553071.5,82.55117
348,3834.6848,545652.1,69.39561
349,3758.5857,534698.75,20.753681
350,3695.0066,525243.1,-33.70399
351,3666.3508,520125.78,-39.254444
352,3641.147,514775.62,0.39590606
353,3619.0461,511835.28,57.956287
354,3657.9397,523860.44,128.90259
355,3678.6648,528812.8,166.09818
356,3676.8525,530050.0,175.47447
357,3701.8994,532525.1,187.32689
358,3750.2656,538268.25,159.89217
359,3811.5007,546547.9,108.055695
360,3940.1365,565645.4,115.22886
361,4092.8713,586289.3,163.39291
362,4257.324,612502.75,219.76138
363,4402.004,637956.44,237.2274
364,4537.713,658473.44,204.52043
365,4640.0786,669814.1,166.50792
366,4730.3647,678954.5,159.19261
367,4840.2056,689772.2,161.50813
368,4926.093,700443.5,180.9182
369,4963.3237,704584.56,174.99706
370,4950.3247,700562.06,137.71007
371,4896.9263,693074.5,91.0595
372,4866.55,691260.5,64.8688
373,4860.4067,687561.44,39.048706
374,4852.2734,680318.94,65.22444
375,4808.745,672507.56,113.87127
376,4752.5654,663110.2,155.94453
377,4693.8887,654642.2,150.2876
378,4612.65,642154.7,111.52089
379,4511.549,629470.56,111.017
380,4555.407,629214.75,179.2818
381,4494.4136,618742.4,171.61859
382,4423.6704,610201.9,133.20853
383,4342.6006,600468.3,122.508995
384,4305.076,597447.9,174.03485
385,4288.7803,596767.8,198.5588
386,4276.5625,594161.75,171.56746
387,4255.928,588982.0,201.35562
388,4207.52,580062.06,235.15216
389,4227.078,584744.3,275.92065
390,4273.3145,592720.4,309.12213
391,4301.488,597479.9,328.15796
392,4295.341,598670.56,363.8316
393,4235.637,592348.94,410.1328
394,4208.3022,586864.0,281.54703
395,4199.021,580330.56,97.11155
396,4217.783,586048.7,224.64754
397,4285.1035,593365.75,317.86545
398,4510.9834,625196.9,329.93237
399,4685.8286,656984.3,315.1586
400,4752.329,666086.75,296.82977
401,4790.735,673556.7,296.83936
402,4810.2183,676832.2,287.71753
403,4823.279,677581.6,262.6481
404,4816.695,675814.3,233.10428
405,4806.5034,673153.9,229.26895
406,4801.4585,671582.1,236.16742
407,4793.656,670134.4,180.89044
408,4765.756,667418.9,113.2286
409,4731.259,662265.9,80.21846
410,4701.802,660193.8,139.14967
411,4688.871,658015.56,230.58365
412,4667.007,653193.5,256.5041
413,4621.372,645577.25,241.51326
414,4550.353,637850.1,229.33557
415,4475.3306,629211.75,219.0613
416,4419.783,621228.7,173.3555
417,4399.055,617290.8,142.97029
418,4437.784,621917.0,132.26099
419,4528.162,633741.2,155.9341
420,4634.754,650239.06,175.00334
421,4737.154,667043.75,162.18393
422,4809.368,678064.6,181.25677
423,4887.301,687273.5,211.89772
424,4939.4463,695787.4,232.37355
425,4994.7163,703171.9,252.23128
426,5018.414,707270.3,252.63068
427,5036.923,710756.06,260.0575
428,5047.596,712458.56,286.48434
429,5060.2856,712683.8,269.39188
430,5067.81,712731.7,217.5545
431,5026.0254,709178.75,156.54599
432,4979.929,703219.7,145.77834
433,4928.368,694209.4,149.5289
434,4865.625,686292.94,201.34897
435,4801.286,677746.7,294.6275
436,4785.345,676092.75,379.4719
437,4791.448,677157.9,469.16492
438,4789.5293,677775.3,555.84705
439,4778.421,675915.1,637.0924
440,4745.424,671233.4,728.1077
441,4661.7705,656373.75,743.8956
442,4533.4497,635810.3,639.54865
