,ON_STREAM_HRS,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1941,24.0,176.04687916666666,31.642544791666666,70.45069875,103.44132125,75.30865770833333,3058.89,458524.0,10.61
1942,23.83334,175.89233934565613,30.926781875,70.39306300246629,103.21944343405917,75.17220465653996,2964.81,428015.0,10.59
1943,24.0,175.81110125,32.074124166666664,69.867086875,102.14000020833333,76.26216916666667,3131.37,454137.0,10.63
1944,24.0,175.553445,32.051666041666664,69.81334354166667,101.73907708333333,76.00387541666667,3135.37,454798.0,10.63
1945,24.0,175.26535958333332,32.07361645833333,69.32178916666666,101.29906770833334,75.24527354166666,3143.37,470240.0,10.63
1946,24.0,175.07195041666665,32.04643958333333,69.07361270833333,100.91081291666667,75.37564625,3132.37,425284.44,10.63
1947,24.0,174.90306375,32.04521979166667,69.104665625,100.45982625,75.592860625,3139.62,454093.33,10.63
1948,24.0,174.668426875,32.01249270833333,68.91775583333333,100.12426729166667,74.67778979166667,3156.67,467465.72,10.63
1949,24.0,174.49839833333334,32.087249791666665,68.25330854166667,99.573733125,75.35609145833334,3192.14,458447.4,10.64
1950,24.0,174.28361125,32.078392083333334,67.79460145833333,99.17249604166666,75.31876208333334,3172.12,458028.49,10.63
1951,24.0,174.087919375,32.060703333333336,67.40523645833333,98.79285979166667,75.35283,3160.26,466335.26,10.63
1952,24.0,173.83483,32.128393958333334,67.01133229166666,98.40192666666667,74.81191020833333,3153.35,468479.65,10.63
1953,24.0,173.644271875,32.04209770833333,66.66065520833334,98.039305625,74.95929104166666,3130.58,406562.1,10.63
1954,7.475,173.52183289901004,30.925418125,66.57849645505017,97.89670598445485,75.25957300271573,960.26,113341.21,11.64
1956,1.19167,187.17502917636594,21.333333333333332,68.20676057045995,92.24119599612308,24.1,73.44,48936.44,10.13
